RowName,InstrumentName,InstrumentTypeCategory,UpgradeName,Cost
171,Drums3,3,1975 Drumster Fire *BRAND NEW*,109133
172,Guitar1,4,Bender '54 (slight damage),51359
173,Guitar2,5,Full Size Lagoon Guitar Bag,83455
174,Guitar3,6,Signed Gibby Guitar knob,109133
175,Bass1,7,Pro Fish Guitar 2023 ,51359
176,Bass2,8,Refurbished Grand Largemouth,83455
177,Bass3,9,Used Bass strings (Still in package),109133
178,Wild1,10,Pre-Used Uptight Baby Grandfather,51359
179,Wild2,11,Beautiful Echenbach Standing Piano,83455
180,Wild3,12,Stage 69 Vintage Electric Piano,109133
181,Drums1,1,DRUM to get rid of,61631
182,Drums2,2,"Small Drum, Need out of House",100146
183,Drums3,3,1975 Drumster Fire *BRAND NEW*,130960
184,Guitar1,4,Bender '54 (slight damage),61631
185,Guitar2,5,Full Size Lagoon Guitar Bag,100146
186,Guitar3,6,Signed Gibby Guitar knob,130960
187,Bass1,7,Pro Fish Guitar 2023 ,61631
188,Bass2,8,Refurbished Grand Largemouth,100146
189,Bass3,9,Used Bass strings (Still in package),130960
190,Wild1,10,Pre-Used Uptight Baby Grandfather,61631
191,Wild2,11,Beautiful Echenbach Standing Piano,100146
192,Wild3,12,Stage 69 Vintage Electric Piano,130960
193,Drums1,1,DRUM to get rid of,73957
194,Drums2,2,"Small Drum, Need out of House",120175
195,Drums3,3,1975 Drumster Fire *BRAND NEW*,157152
196,Guitar1,4,Bender '54 (slight damage),73957
197,Guitar2,5,Full Size Lagoon Guitar Bag,120175
198,Guitar3,6,Signed Gibby Guitar knob,157152
199,Bass1,7,Pro Fish Guitar 2023 ,73957
200,Bass2,8,Refurbished Grand Largemouth,120175
201,Bass3,9,Used Bass strings (Still in package),157152
202,Wild1,10,Pre-Used Uptight Baby Grandfather,73957
203,Wild2,11,Beautiful Echenbach Standing Piano,120175
204,Wild3,12,Stage 69 Vintage Electric Piano,157152
205,Drums1,1,DRUM to get rid of,88748
206,Drums2,2,"Small Drum, Need out of House",144210
207,Drums3,3,1975 Drumster Fire *BRAND NEW*,188582
208,Guitar1,4,Bender '54 (slight damage),88748
209,Guitar2,5,Full Size Lagoon Guitar Bag,144210
210,Guitar3,6,Signed Gibby Guitar knob,188582
211,Bass1,7,Pro Fish Guitar 2023 ,88748
212,Bass2,8,Refurbished Grand Largemouth,144210
213,Bass3,9,Used Bass strings (Still in package),188582
214,Wild1,10,Pre-Used Uptight Baby Grandfather,88748
215,Wild2,11,Beautiful Echenbach Standing Piano,144210
216,Wild3,12,Stage 69 Vintage Electric Piano,188582
217,Drums1,1,DRUM to get rid of,106498
218,Drums2,2,"Small Drum, Need out of House",173052
219,Drums3,3,1975 Drumster Fire *BRAND NEW*,226298
220,Guitar1,4,Bender '54 (slight damage),106498
221,Guitar2,5,Full Size Lagoon Guitar Bag,173052
222,Guitar3,6,Signed Gibby Guitar knob,226298
223,Bass1,7,Pro Fish Guitar 2023 ,106498
224,Bass2,8,Refurbished Grand Largemouth,173052
225,Bass3,9,Used Bass strings (Still in package),226298
226,Wild1,10,Pre-Used Uptight Baby Grandfather,106498
227,Wild2,11,Beautiful Echenbach Standing Piano,173052
228,Wild3,12,Stage 69 Vintage Electric Piano,226298
229,Drums1,1,DRUM to get rid of,127798
230,Drums2,2,"Small Drum, Need out of House",207662
231,Drums3,3,1975 Drumster Fire *BRAND NEW*,271558
232,Guitar1,4,Bender '54 (slight damage),127798
233,Guitar2,5,Full Size Lagoon Guitar Bag,207662
234,Guitar3,6,Signed Gibby Guitar knob,271558
235,Bass1,7,Pro Fish Guitar 2023 ,127798
236,Bass2,8,Refurbished Grand Largemouth,207662
237,Bass3,9,Used Bass strings (Still in package),271558
238,Wild1,10,Pre-Used Uptight Baby Grandfather,127798
239,Wild2,11,Beautiful Echenbach Standing Piano,207662
240,Wild3,12,Stage 69 Vintage Electric Piano,271558
241,Drums1,1,DRUM to get rid of,153358
242,Drums2,2,"Small Drum, Need out of House",249194
243,Drums3,3,1975 Drumster Fire *BRAND NEW*,325870
244,Guitar1,4,Bender '54 (slight damage),153358
245,Guitar2,5,Full Size Lagoon Guitar Bag,249194
246,Guitar3,6,Signed Gibby Guitar knob,325870
247,Bass1,7,Pro Fish Guitar 2023 ,153358
248,Bass2,8,Refurbished Grand Largemouth,249194
249,Bass3,9,Used Bass strings (Still in package),325870
250,Wild1,10,Pre-Used Uptight Baby Grandfather,153358
251,Wild2,11,Beautiful Echenbach Standing Piano,249194
252,Wild3,12,Stage 69 Vintage Electric Piano,325870
253,Drums1,1,DRUM to get rid of,184030
254,Drums2,2,"Small Drum, Need out of House",299033
255,Drums3,3,1975 Drumster Fire *BRAND NEW*,391044
256,Guitar1,4,Bender '54 (slight damage),184030
257,Guitar2,5,Full Size Lagoon Guitar Bag,299033
258,Guitar3,6,Signed Gibby Guitar knob,391044
259,Bass1,7,Pro Fish Guitar 2023 ,184030
260,Bass2,8,Refurbished Grand Largemouth,299033
261,Bass3,9,Used Bass strings (Still in package),391044
262,Wild1,10,Pre-Used Uptight Baby Grandfather,184030
263,Wild2,11,Beautiful Echenbach Standing Piano,299033
264,Wild3,12,Stage 69 Vintage Electric Piano,391044
265,Drums1,1,DRUM to get rid of,220836
266,Drums2,2,"Small Drum, Need out of House",358840
267,Drums3,3,1975 Drumster Fire *BRAND NEW*,469253
268,Guitar1,4,Bender '54 (slight damage),220836
269,Guitar2,5,Full Size Lagoon Guitar Bag,358840
270,Guitar3,6,Signed Gibby Guitar knob,469253
271,Bass1,7,Pro Fish Guitar 2023 ,220836
272,Bass2,8,Refurbished Grand Largemouth,358840
273,Bass3,9,Used Bass strings (Still in package),469253
274,Wild1,10,Pre-Used Uptight Baby Grandfather,220836
275,Wild2,11,Beautiful Echenbach Standing Piano,358840
276,Wild3,12,Stage 69 Vintage Electric Piano,469253
277,Drums1,1,DRUM to get rid of,265003
278,Drums2,2,"Small Drum, Need out of House",430608
279,Drums3,3,1975 Drumster Fire *BRAND NEW*,563104
280,Guitar1,4,Bender '54 (slight damage),265003
281,Guitar2,5,Full Size Lagoon Guitar Bag,430608
282,Guitar3,6,Signed Gibby Guitar knob,563104
283,Bass1,7,Pro Fish Guitar 2023 ,265003
284,Bass2,8,Refurbished Grand Largemouth,430608
285,Bass3,9,Used Bass strings (Still in package),563104
286,Wild1,10,Pre-Used Uptight Baby Grandfather,265003
287,Wild2,11,Beautiful Echenbach Standing Piano,430608
288,Wild3,12,Stage 69 Vintage Electric Piano,563104
289,Drums1,1,DRUM to get rid of,318004
290,Drums2,2,"Small Drum, Need out of House",516730
291,Drums3,3,1975 Drumster Fire *BRAND NEW*,675725
292,Guitar1,4,Bender '54 (slight damage),318004
293,Guitar2,5,Full Size Lagoon Guitar Bag,516730
294,Guitar3,6,Signed Gibby Guitar knob,675725
295,Bass1,7,Pro Fish Guitar 2023 ,318004
296,Bass2,8,Refurbished Grand Largemouth,516730
297,Bass3,9,Used Bass strings (Still in package),675725
298,Wild1,10,Pre-Used Uptight Baby Grandfather,318004
299,Wild2,11,Beautiful Echenbach Standing Piano,516730
300,Wild3,12,Stage 69 Vintage Electric Piano,675725
301,Drums1,1,DRUM to get rid of,381605
302,Drums2,2,"Small Drum, Need out of House",620076
303,Drums3,3,1975 Drumster Fire *BRAND NEW*,810870
304,Guitar1,4,Bender '54 (slight damage),381605
305,Guitar2,5,Full Size Lagoon Guitar Bag,620076
306,Guitar3,6,Signed Gibby Guitar knob,810870
307,Bass1,7,Pro Fish Guitar 2023 ,381605
308,Bass2,8,Refurbished Grand Largemouth,620076
309,Bass3,9,Used Bass strings (Still in package),810870
310,Wild1,10,Pre-Used Uptight Baby Grandfather,381605
311,Wild2,11,Beautiful Echenbach Standing Piano,620076
312,Wild3,12,Stage 69 Vintage Electric Piano,810870
313,Drums1,1,DRUM to get rid of,457926
314,Drums2,2,"Small Drum, Need out of House",744091
315,Drums3,3,1975 Drumster Fire *BRAND NEW*,973044
316,Guitar1,4,Bender '54 (slight damage),457926
317,Guitar2,5,Full Size Lagoon Guitar Bag,744091
318,Guitar3,6,Signed Gibby Guitar knob,973044
319,Bass1,7,Pro Fish Guitar 2023 ,457926
320,Bass2,8,Refurbished Grand Largemouth,744091
321,Bass3,9,Used Bass strings (Still in package),973044
322,Wild1,10,Pre-Used Uptight Baby Grandfather,457926
323,Wild2,11,Beautiful Echenbach Standing Piano,744091
324,Wild3,12,Stage 69 Vintage Electric Piano,973044
325,Drums1,1,DRUM to get rid of,549511
326,Drums2,2,"Small Drum, Need out of House",892909
327,Drums3,3,1975 Drumster Fire *BRAND NEW*,1167653
328,Guitar1,4,Bender '54 (slight damage),549511
329,Guitar2,5,Full Size Lagoon Guitar Bag,892909
330,Guitar3,6,Signed Gibby Guitar knob,1167653
331,Bass1,7,Pro Fish Guitar 2023 ,549511
332,Bass2,8,Refurbished Grand Largemouth,892909
333,Bass3,9,Used Bass strings (Still in package),1167653
334,Wild1,10,Pre-Used Uptight Baby Grandfather,549511
335,Wild2,11,Beautiful Echenbach Standing Piano,892909
336,Wild3,12,Stage 69 Vintage Electric Piano,1167653
337,Drums1,1,DRUM to get rid of,659413
338,Drums2,2,"Small Drum, Need out of House",1071491
339,Drums3,3,1975 Drumster Fire *BRAND NEW*,1401184
340,Guitar1,4,Bender '54 (slight damage),659413
341,Guitar2,5,Full Size Lagoon Guitar Bag,1071491
342,Guitar3,6,Signed Gibby Guitar knob,1401184
343,Bass1,7,Pro Fish Guitar 2023 ,659413
344,Bass2,8,Refurbished Grand Largemouth,1071491
345,Bass3,9,Used Bass strings (Still in package),1401184
346,Wild1,10,Pre-Used Uptight Baby Grandfather,659413
347,Wild2,11,Beautiful Echenbach Standing Piano,1071491
348,Wild3,12,Stage 69 Vintage Electric Piano,1401184
349,Drums1,1,DRUM to get rid of,791296
350,Drums2,2,"Small Drum, Need out of House",1285789
351,Drums3,3,1975 Drumster Fire *BRAND NEW*,1681421
352,Guitar1,4,Bender '54 (slight damage),791296
353,Guitar2,5,Full Size Lagoon Guitar Bag,1285789
354,Guitar3,6,Signed Gibby Guitar knob,1681421
355,Bass1,7,Pro Fish Guitar 2023 ,791296
356,Bass2,8,Refurbished Grand Largemouth,1285789
357,Bass3,9,Used Bass strings (Still in package),1681421
358,Wild1,10,Pre-Used Uptight Baby Grandfather,791296
359,Wild2,11,Beautiful Echenbach Standing Piano,1285789
360,Wild3,12,Stage 69 Vintage Electric Piano,1681421
361,Drums1,1,DRUM to get rid of,949555
362,Drums2,2,"Small Drum, Need out of House",1542947
363,Drums3,3,1975 Drumster Fire *BRAND NEW*,2017705
364,Guitar1,4,Bender '54 (slight damage),949555
365,Guitar2,5,Full Size Lagoon Guitar Bag,1542947
366,Guitar3,6,Signed Gibby Guitar knob,2017705
367,Bass1,7,Pro Fish Guitar 2023 ,949555
368,Bass2,8,Refurbished Grand Largemouth,1542947
369,Bass3,9,Used Bass strings (Still in package),2017705
370,Wild1,10,Pre-Used Uptight Baby Grandfather,949555
371,Wild2,11,Beautiful Echenbach Standing Piano,1542947
372,Wild3,12,Stage 69 Vintage Electric Piano,2017705
373,Drums1,1,DRUM to get rid of,1139466
374,Drums2,2,"Small Drum, Need out of House",1851536
375,Drums3,3,1975 Drumster Fire *BRAND NEW*,2421246
376,Guitar1,4,Bender '54 (slight damage),1139466
377,Guitar2,5,Full Size Lagoon Guitar Bag,1851536
378,Guitar3,6,Signed Gibby Guitar knob,2421246
379,Bass1,7,Pro Fish Guitar 2023 ,1139466
380,Bass2,8,Refurbished Grand Largemouth,1851536
381,Bass3,9,Used Bass strings (Still in package),2421246
382,Wild1,10,Pre-Used Uptight Baby Grandfather,1139466
383,Wild2,11,Beautiful Echenbach Standing Piano,1851536
384,Wild3,12,Stage 69 Vintage Electric Piano,2421246
385,Drums1,1,DRUM to get rid of,1367359
386,Drums2,2,"Small Drum, Need out of House",2221843
387,Drums3,3,1975 Drumster Fire *BRAND NEW*,2905495
388,Guitar1,4,Bender '54 (slight damage),1367359
389,Guitar2,5,Full Size Lagoon Guitar Bag,2221843
390,Guitar3,6,Signed Gibby Guitar knob,2905495
391,Bass1,7,Pro Fish Guitar 2023 ,1367359
392,Bass2,8,Refurbished Grand Largemouth,2221843
393,Bass3,9,Used Bass strings (Still in package),2905495
394,Wild1,10,Pre-Used Uptight Baby Grandfather,1367359
395,Wild2,11,Beautiful Echenbach Standing Piano,2221843
396,Wild3,12,Stage 69 Vintage Electric Piano,2905495
397,Drums1,1,DRUM to get rid of,1640831
398,Drums2,2,"Small Drum, Need out of House",2666212
399,Drums3,3,1975 Drumster Fire *BRAND NEW*,3486594
400,Guitar1,4,Bender '54 (slight damage),1640831
401,Guitar2,5,Full Size Lagoon Guitar Bag,2666212
402,Guitar3,6,Signed Gibby Guitar knob,3486594
403,Bass1,7,Pro Fish Guitar 2023 ,1640831
404,Bass2,8,Refurbished Grand Largemouth,2666212
405,Bass3,9,Used Bass strings (Still in package),3486594
406,Wild1,10,Pre-Used Uptight Baby Grandfather,1640831
407,Wild2,11,Beautiful Echenbach Standing Piano,2666212
408,Wild3,12,Stage 69 Vintage Electric Piano,3486594
409,Drums1,1,DRUM to get rid of,1968997
410,Drums2,2,"Small Drum, Need out of House",3199454
411,Drums3,3,1975 Drumster Fire *BRAND NEW*,4183913
412,Guitar1,4,Bender '54 (slight damage),1968997
413,Guitar2,5,Full Size Lagoon Guitar Bag,3199454
414,Guitar3,6,Signed Gibby Guitar knob,4183913
415,Bass1,7,Pro Fish Guitar 2023 ,1968997
416,Bass2,8,Refurbished Grand Largemouth,3199454
417,Bass3,9,Used Bass strings (Still in package),4183913
418,Wild1,10,Pre-Used Uptight Baby Grandfather,1968997
419,Wild2,11,Beautiful Echenbach Standing Piano,3199454
420,Wild3,12,Stage 69 Vintage Electric Piano,4183913
421,Drums1,1,DRUM to get rid of,2362796
422,Drums2,2,"Small Drum, Need out of House",3839345
423,Drums3,3,1975 Drumster Fire *BRAND NEW*,5020696
424,Guitar1,4,Bender '54 (slight damage),2362796
425,Guitar2,5,Full Size Lagoon Guitar Bag,3839345
426,Guitar3,6,Signed Gibby Guitar knob,5020696
427,Bass1,7,Pro Fish Guitar 2023 ,2362796
428,Bass2,8,Refurbished Grand Largemouth,3839345
429,Bass3,9,Used Bass strings (Still in package),5020696
430,Wild1,10,Pre-Used Uptight Baby Grandfather,2362796
431,Wild2,11,Beautiful Echenbach Standing Piano,3839345
432,Wild3,12,Stage 69 Vintage Electric Piano,5020696
433,Drums1,1,DRUM to get rid of,2835355
434,Drums2,2,"Small Drum, Need out of House",4607214
435,Drums3,3,1975 Drumster Fire *BRAND NEW*,6024835
436,Guitar1,4,Bender '54 (slight damage),2835355
437,Guitar2,5,Full Size Lagoon Guitar Bag,4607214
438,Guitar3,6,Signed Gibby Guitar knob,6024835
439,Bass1,7,Pro Fish Guitar 2023 ,2835355
440,Bass2,8,Refurbished Grand Largemouth,4607214
441,Bass3,9,Used Bass strings (Still in package),6024835
442,Wild1,10,Pre-Used Uptight Baby Grandfather,2835355
443,Wild2,11,Beautiful Echenbach Standing Piano,4607214
444,Wild3,12,Stage 69 Vintage Electric Piano,6024835
445,Drums1,1,DRUM to get rid of,3402426
446,Drums2,2,"Small Drum, Need out of House",5528657
447,Drums3,3,1975 Drumster Fire *BRAND NEW*,7229802
448,Guitar1,4,Bender '54 (slight damage),3402426
449,Guitar2,5,Full Size Lagoon Guitar Bag,5528657
450,Guitar3,6,Signed Gibby Guitar knob,7229802
451,Bass1,7,Pro Fish Guitar 2023 ,3402426
452,Bass2,8,Refurbished Grand Largemouth,5528657
453,Bass3,9,Used Bass strings (Still in package),7229802
454,Wild1,10,Pre-Used Uptight Baby Grandfather,3402426
455,Wild2,11,Beautiful Echenbach Standing Piano,5528657
456,Wild3,12,Stage 69 Vintage Electric Piano,7229802
457,Drums1,1,DRUM to get rid of,4082911
458,Drums2,2,"Small Drum, Need out of House",6634388
459,Drums3,3,1975 Drumster Fire *BRAND NEW*,8675762
460,Guitar1,4,Bender '54 (slight damage),4082911
461,Guitar2,5,Full Size Lagoon Guitar Bag,6634388
462,Guitar3,6,Signed Gibby Guitar knob,8675762
463,Bass1,7,Pro Fish Guitar 2023 ,4082911
464,Bass2,8,Refurbished Grand Largemouth,6634388
465,Bass3,9,Used Bass strings (Still in package),8675762
466,Wild1,10,Pre-Used Uptight Baby Grandfather,4082911
467,Wild2,11,Beautiful Echenbach Standing Piano,6634388
468,Wild3,12,Stage 69 Vintage Electric Piano,8675762
469,Drums1,1,DRUM to get rid of,4899493
470,Drums2,2,"Small Drum, Need out of House",7961266
471,Drums3,3,1975 Drumster Fire *BRAND NEW*,10410914
472,Guitar1,4,Bender '54 (slight damage),4899493
473,Guitar2,5,Full Size Lagoon Guitar Bag,7961266
474,Guitar3,6,Signed Gibby Guitar knob,10410914
475,Bass1,7,Pro Fish Guitar 2023 ,4899493
476,Bass2,8,Refurbished Grand Largemouth,7961266
477,Bass3,9,Used Bass strings (Still in package),10410914
478,Wild1,10,Pre-Used Uptight Baby Grandfather,4899493
479,Wild2,11,Beautiful Echenbach Standing Piano,7961266
480,Wild3,12,Stage 69 Vintage Electric Piano,10410914
481,Drums1,1,DRUM to get rid of,5879392
482,Drums2,2,"Small Drum, Need out of House",9553519
483,Drums3,3,1975 Drumster Fire *BRAND NEW*,12493097
484,Guitar1,4,Bender '54 (slight damage),5879392
485,Guitar2,5,Full Size Lagoon Guitar Bag,9553519
486,Guitar3,6,Signed Gibby Guitar knob,12493097
487,Bass1,7,Pro Fish Guitar 2023 ,5879392
488,Bass2,8,Refurbished Grand Largemouth,9553519
489,Bass3,9,Used Bass strings (Still in package),12493097
490,Wild1,10,Pre-Used Uptight Baby Grandfather,5879392
491,Wild2,11,Beautiful Echenbach Standing Piano,9553519
492,Wild3,12,Stage 69 Vintage Electric Piano,12493097
493,Drums1,1,DRUM to get rid of,7055270
494,Drums2,2,"Small Drum, Need out of House",11464223
495,Drums3,3,1975 Drumster Fire *BRAND NEW*,14991716
496,Guitar1,4,Bender '54 (slight damage),7055270
497,Guitar2,5,Full Size Lagoon Guitar Bag,11464223
498,Guitar3,6,Signed Gibby Guitar knob,14991716
499,Bass1,7,Pro Fish Guitar 2023 ,7055270
500,Bass2,8,Refurbished Grand Largemouth,11464223
501,Bass3,9,Used Bass strings (Still in package),14991716
502,Wild1,10,Pre-Used Uptight Baby Grandfather,7055270
